Metric,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1 Day Min,13.10,0.93,4.35,1.30,1.30,2.80,0.42,1.50,0.91,0.91,0.82,0.56,0.42,3.90,0.48,0.30,1.70,2.50,0.42,0.48,0.56,1.98,2.38,0.17,1.40,1.40,3.57,1.61,0.54,0.22,5.13
1 Day Max,215.00,489.00,2120.00,1540.00,526.00,1710.00,977.00,696.00,1530.00,1620.00,435.00,1080.00,1900.00,1410.00,961.00,585.00,1130.00,1140.00,1930.00,1630.00,3330.00,1350.00,949.00,1700.00,4860.00,987.00,946.00,1360.00,439.00,1590.00,524.00
3 Day Min,13.30,0.93,5.10,1.30,1.30,2.80,0.42,1.50,0.91,0.91,0.82,0.56,0.42,3.90,0.48,0.30,1.70,2.50,0.42,0.48,0.56,2.02,2.38,0.17,1.40,1.40,3.57,1.61,0.54,0.22,5.18
3 Day Max,213.00,482.33,2076.67,1516.67,524.00,1680.00,973.67,693.33,1526.67,1616.67,434.00,1076.67,1896.67,1410.00,771.00,580.33,1123.33,1126.67,1916.67,1626.67,3323.33,1336.67,940.33,1686.67,4836.67,984.33,912.67,1360.00,437.00,1586.67,523.00
7 Day Min,13.54,0.93,5.98,1.36,1.30,2.80,0.42,1.50,0.91,0.91,0.82,0.56,0.42,3.90,0.48,0.30,1.70,2.50,0.42,0.48,0.56,2.07,2.38,0.17,1.40,1.40,3.57,1.64,0.54,0.22,5.24
7 Day Max,209.86,476.57,2000.00,1435.71,513.57,1610.00,963.71,680.57,1498.57,1585.71,431.71,1068.57,1880.00,1397.14,684.71,575.00,1120.00,1100.00,1898.57,1608.57,3271.43,1325.71,931.86,1684.29,4824.29,968.29,837.57,1341.43,434.43,1568.57,515.00
30 Day Min,14.53,0.93,6.27,2.81,1.30,2.89,0.42,1.50,0.92,0.99,0.84,0.56,0.42,3.90,0.48,0.33,1.75,2.50,0.42,0.48,0.56,2.10,2.38,0.17,1.40,1.40,3.68,1.70,0.54,0.24,5.65
30 Day Max,177.43,413.37,1487.03,1092.13,414.93,1113.43,895.83,539.90,1061.47,1196.27,373.23,965.23,1692.00,1296.00,641.90,516.73,1001.67,944.93,1662.33,1427.33,2787.33,1157.00,858.60,1591.67,4165.33,851.53,774.50,1108.83,418.00,1432.67,463.43
90 Day Min,14.92,0.94,6.63,2.92,1.31,3.10,0.42,1.52,1.00,1.04,0.85,0.56,0.42,3.96,0.48,0.37,1.84,2.61,0.44,0.50,0.56,2.16,2.43,0.17,1.43,1.46,3.71,1.71,0.54,0.29,8.23
90 Day Max,119.53,336.39,797.22,548.76,239.32,527.13,727.99,342.56,507.63,720.82,317.99,791.34,1030.32,901.62,558.84,405.18,627.27,578.00,1075.74,910.31,1901.77,774.20,617.17,1201.22,2511.10,536.27,586.50,758.39,378.37,926.90,332.38
Zero flow days,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Base index,0.41,0.03,0.11,0.03,0.04,0.07,0.01,0.04,0.01,0.01,0.03,0.01,0.01,0.08,0.01,0.01,0.03,0.06,0.01,0.01,0.01,0.03,0.05,0.00,0.02,0.05,0.07,0.03,0.02,0.01,0.14
