Parameter,2004,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
pH,6.17,5.91,5.76,6.075,6.02,6.21,6.14,6.17,6.2,6.16,6.3,6.16,6.13,
Specific Conductance (?S/cm),75.5,100.3,142.3,67.3,100.1,77.5,85.2,112.1,82.1,87.66,95.3,95.6,69.51,
Acid Neutralizing Capacity (?eq/L),114.4,60.2,40.3,108.7,77.3,166.9,96.1,101.1,70.7,111,151.9,105.4,97.966,
Dissolved Organic Carbon (mg/L),12.2,10.9422,7.6091,20.105,15.2825,17.8542,10.2886,9.3582,13.0268,16.464,16.558,18.192,15.973,
Chloride (mg/L),11.08,12.812,20.8374,8.7168,19.4549,12.0366,15.4043,20.5162,14.5614,15.0105,16.2485,15.5372,11.0388,
Sulfate (mg/L),6.43,17.145,21.4983,4.8299,9.6348,5.2235,8.635,8.86,6.9532,6.2474,7.1901,7.3807,4.8696,
Total Nitrogen (mg/L),0.813,0.6897,0.5856,1.0972,0.9312,0.9982,0.7832,0.8799,0.8362,0.845,1.0129,1.2507,0.8969,
Nitrate-Nitrogen (mg/L),0.35,0.2033,0.1802,0.227,0.2743,0.1366,0.217,0.4009,0.242,0.2355,0.3125,0.63,0.4096,
Nitrite-Nitrogen (mg/L),0.007,0.0025,0.0019,0.007,0.005,0.0058,0.0032,0.0039,0.0032,0.0033,0.0055,0.0064,0.0074,
Ammonia-Nitrogen (mg/L),0.0815,0.0119,0.0148,0.0549,0.0161,0.0335,0.0247,0.0404,0.0262,0.0188,0.0578,0.0646,0.0517,
Total  Phosphorus (mg/L),0.075,0.0343,0.0283,0.0983,0.0475,0.0884,0.0469,0.042,0.0542,0.0604,0.0819,0.0583,0.0615,
Ortho-phosphate (mg/L),0.0083,0.0053,0.0063,0.019,0.0094,0.0106,0.0062,0.0063,0.01,0.0144,0.0151,0.0122,0.0159,
Bromide (mg/L),,,,,,,0.0092,0.0162,0.0088,0.014,0.0233,0.0136,0.0179,
Magnesium (mg/L),,,3.1409,,,,,2.376,1.667,2.048,2.592,2.329,1.692,
Calcium (mg/L),,,6.6473,,,,,4.288,3.126,3.805,4.651,4.116,3.376,
Copper (µg/L),,,,,,,,2.081,1.8,1.26,1.322,1.428,1.232,
Zinc (µg/L),,,,,,,,12.442,20.429,15.056,11.775,10.802,10.082,
